Use GPU: 0 for training
=> creating model 'resnet50'
=> loading checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar'
=> loaded checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar' (epoch 15)
Use GPU: 2 for training
=> creating model 'resnet50'
=> loading checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar'
=> loaded checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar' (epoch 15)
Use GPU: 3 for training
=> creating model 'resnet50'
=> loading checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar'
=> loaded checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar' (epoch 15)
Use GPU: 1 for training
=> creating model 'resnet50'
=> loading checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar'
=> loaded checkpoint '/home/junzhin/Project/Summer_project/code/version1.0/pretrained_model_results/Resnet50checkpoint.pth.tar' (epoch 15)
Epoch: [15][ 340/5005]	Time  2.519 ( 2.052)	Data  2.252 ( 1.769)	Loss 2.2817e+00 (2.5382e+00)	Acc@1  57.81 ( 44.34)	Acc@5  73.44 ( 69.45)
Epoch: [15][ 350/5005]	Time  2.631 ( 2.061)	Data  2.362 ( 1.778)	Loss 2.8436e+00 (2.5412e+00)	Acc@1  35.94 ( 44.22)	Acc@5  60.94 ( 69.41)
Epoch: [15][ 360/5005]	Time  2.436 ( 2.072)	Data  2.142 ( 1.789)	Loss 2.9332e+00 (2.5439e+00)	Acc@1  42.19 ( 44.14)	Acc@5  60.94 ( 69.39)
Epoch: [15][ 370/5005]	Time  2.358 ( 2.084)	Data  2.085 ( 1.801)	Loss 2.3414e+00 (2.5428e+00)	Acc@1  48.44 ( 44.16)	Acc@5  71.88 ( 69.43)
Epoch: [15][ 380/5005]	Time  2.421 ( 2.097)	Data  2.146 ( 1.814)	Loss 2.3983e+00 (2.5404e+00)	Acc@1  43.75 ( 44.17)	Acc@5  70.31 ( 69.43)
Epoch: [15][ 390/5005]	Time  2.422 ( 2.104)	Data  2.131 ( 1.821)	Loss 2.9582e+00 (2.5410e+00)	Acc@1  31.25 ( 44.07)	Acc@5  62.50 ( 69.41)
Epoch: [15][ 400/5005]	Time  2.173 ( 2.110)	Data  1.880 ( 1.827)	Loss 2.6321e+00 (2.5397e+00)	Acc@1  40.62 ( 44.07)	Acc@5  60.94 ( 69.41)
Epoch: [15][ 410/5005]	Time  2.019 ( 2.116)	Data  1.741 ( 1.832)	Loss 2.5296e+00 (2.5396e+00)	Acc@1  45.31 ( 44.08)	Acc@5  68.75 ( 69.37)
Epoch: [15][ 420/5005]	Time  2.286 ( 2.117)	Data  2.009 ( 1.834)	Loss 2.3538e+00 (2.5435e+00)	Acc@1  51.56 ( 44.04)	Acc@5  71.88 ( 69.30)
Epoch: [15][ 430/5005]	Time  2.282 ( 2.119)	Data  2.015 ( 1.837)	Loss 2.8504e+00 (2.5459e+00)	Acc@1  42.19 ( 44.00)	Acc@5  65.62 ( 69.26)
